Date,mean_with_zero,std,Number_of_customers,Number_of_nonzero,mean_no_zero,min,max
2015-04-19 00:00:00,0.03,,1,1,0.03,0.03,0.03
2015-04-19 01:00:00,0.055,,1,1,0.055,0.055,0.055
2015-04-19 02:00:00,0.02,,1,1,0.02,0.02,0.02
2015-04-19 03:00:00,0.055,,1,1,0.055,0.055,0.055
2015-04-19 04:00:00,0.043,,1,1,0.043,0.043,0.043
2015-04-19 05:00:00,0.053,,1,1,0.053,0.053,0.053
2015-04-19 06:00:00,0.055999999999999994,,1,1,0.055999999999999994,0.055999999999999994,0.055999999999999994
2015-04-19 07:00:00,0.02,,1,1,0.02,0.02,0.02
2015-04-19 08:00:00,0.055999999999999994,,1,1,0.055999999999999994,0.055999999999999994,0.055999999999999994
2015-04-19 09:00:00,0.069,,1,1,0.069,0.069,0.069
2015-04-19 10:00:00,0.057,,1,1,0.057,0.057,0.057
2015-04-19 11:00:00,0.062,,1,1,0.062,0.062,0.062
2015-04-19 12:00:00,0.02,,1,1,0.02,0.02,0.02
2015-04-19 13:00:00,0.055,,1,1,0.055,0.055,0.055
2015-04-19 14:00:00,0.055,,1,1,0.055,0.055,0.055
2015-04-19 15:00:00,0.045,,1,1,0.045,0.045,0.045
2015-04-19 16:00:00,0.053,,1,1,0.053,0.053,0.053
2015-04-19 17:00:00,0.02,,1,1,0.02,0.02,0.02
2015-04-19 18:00:00,0.055,,1,1,0.055,0.055,0.055
2015-04-19 19:00:00,0.033,,1,1,0.033,0.033,0.033
2015-04-19 20:00:00,0.042,,1,1,0.042,0.042,0.042
2015-04-19 21:00:00,0.054000000000000006,,1,1,0.054000000000000006,0.054000000000000006,0.054000000000000006
2015-04-19 22:00:00,0.065,,1,1,0.065,0.065,0.065
2015-04-19 23:00:00,0.131,,1,1,0.131,0.131,0.131
2015-04-23 00:00:00,0.057,,1,1,0.057,0.057,0.057
2015-04-23 01:00:00,0.048,,1,1,0.048,0.048,0.048
2015-04-23 02:00:00,0.032,,1,1,0.032,0.032,0.032
2015-04-23 03:00:00,0.059000000000000004,,1,1,0.059000000000000004,0.059000000000000004,0.059000000000000004
2015-04-23 04:00:00,0.092,,1,1,0.092,0.092,0.092
2015-04-23 05:00:00,0.069,,1,1,0.069,0.069,0.069
2015-04-23 06:00:00,0.044000000000000004,,1,1,0.044000000000000004,0.044000000000000004,0.044000000000000004
2015-04-23 07:00:00,0.031,,1,1,0.031,0.031,0.031
2015-04-23 08:00:00,0.063,,1,1,0.063,0.063,0.063
2015-04-23 09:00:00,0.195,,1,1,0.195,0.195,0.195
2015-04-23 10:00:00,0.141,,1,1,0.141,0.141,0.141
2015-04-23 11:00:00,0.177,,1,1,0.177,0.177,0.177
2015-04-23 12:00:00,0.198,,1,1,0.198,0.198,0.198
2015-04-23 13:00:00,0.2,,1,1,0.2,0.2,0.2
2015-04-23 14:00:00,0.547,,1,1,0.547,0.547,0.547
2015-04-23 15:00:00,0.389,,1,1,0.389,0.389,0.389
2015-04-23 16:00:00,2.1390000000000002,,1,1,2.1390000000000002,2.1390000000000002,2.1390000000000002
2015-04-23 17:00:00,0.456,,1,1,0.456,0.456,0.456
2015-04-23 18:00:00,1.6540000000000001,,1,1,1.6540000000000001,1.6540000000000001,1.6540000000000001
2015-04-23 19:00:00,0.987,,1,1,0.987,0.987,0.987
2015-04-23 20:00:00,0.373,,1,1,0.373,0.373,0.373
2015-04-23 21:00:00,0.145,,1,1,0.145,0.145,0.145
2015-04-23 22:00:00,0.12300000000000001,,1,1,0.12300000000000001,0.12300000000000001,0.12300000000000001
2015-04-23 23:00:00,0.10099999999999999,,1,1,0.10099999999999999,0.10099999999999999,0.10099999999999999
2015-04-29 00:00:00,0.038,,1,1,0.038,0.038,0.038
2015-04-29 01:00:00,0.045,,1,1,0.045,0.045,0.045
2015-04-29 02:00:00,0.061,,1,1,0.061,0.061,0.061
2015-04-29 03:00:00,0.02,,1,1,0.02,0.02,0.02
2015-04-29 04:00:00,0.062,,1,1,0.062,0.062,0.062
2015-04-29 05:00:00,0.033,,1,1,0.033,0.033,0.033
2015-04-29 06:00:00,0.048,,1,1,0.048,0.048,0.048
